id,question,orientation,intention,palier,difficulte,langue,comportement_attendu,comportement_obtenu,orientation_predite,intention_predite,intention_correcte,comportement_correct,exactitude,couverture_ok,escalade_attendue,escalade_obtenue,escalade_pertinente,ancrage_score,ancrage_justification,pertinence_score,pertinence_justification,reponse,sources_utilisees
Q001,Combien coûte le palier Go par mois ?,informationnel,tarif_palier,Go,facile,fr,repondre,repondre,informationnel,tarif_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),Le palier Go est gratuit : 0 DH/mois. Il inclut une carte virtuelle et 3 retraits gratuits par mois en distributeur Simple. (source : fiche_tarifs_v3),KB-INF-GO-TARIF
Q002,C'est gratuit Go ou pas ?,informationnel,tarif_palier,Go,facile,fr,repondre,repondre,informationnel,tarif_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),Le palier Go est gratuit : 0 DH/mois. Il inclut une carte virtuelle et 3 retraits gratuits par mois en distributeur Simple. (source : fiche_tarifs_v3),KB-INF-GO-TARIF
Q003,Chhal taman dial Go fchhar ?,informationnel,tarif_palier,Go,moyen,darija_latin,repondre,repondre,informationnel,tarif_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),Le palier Go est gratuit : 0 DH/mois. Il inclut une carte virtuelle et 3 retraits gratuits par mois en distributeur Simple. (source : fiche_tarifs_v3),KB-INF-GO-TARIF
Q004,Quel est le tarif mensuel du palier Plus ?,informationnel,tarif_palier,Plus,facile,fr,repondre,repondre,informationnel,tarif_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (80%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (80%). (critère: pertinence),"Le palier Plus coûte 19 DH/mois. Il inclut une carte physique, 10 retraits gratuits par mois et l'assurance achats en ligne. (source : fiche_tarifs_v3)",KB-INF-PLUS-TARIF
Q005,Le forfait Plus coute kombyen?,informationnel,tarif_palier,Plus,moyen,fr,repondre,repondre,informationnel,tarif_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (80%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (80%). (critère: pertinence),"Le palier Plus coûte 19 DH/mois. Il inclut une carte physique, 10 retraits gratuits par mois et l'assurance achats en ligne. (source : fiche_tarifs_v3)",KB-INF-PLUS-TARIF
Q006,Quel est le prix du palier Prime ?,informationnel,tarif_palier,Prime,moyen,fr,repondre,repondre,informationnel,tarif_palier,1,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),Le palier Prime coûte 65 DH/mois et inclut des retraits illimités ainsi qu'une carte premium. (source : communique_commercial_q3),"KB-INF-PRIME-TARIF-B,KB-INF-PRIME-TARIF-A"
Q007,Combien je paye chaque mois avec Prime ?,informationnel,tarif_palier,Prime,moyen,fr,repondre,demander_confirmation,transactionnel,paiement,0,0,0.0,1,0,0,,,"Non applicable (demande de confirmation, aucune affirmation factuelle).",,"Non applicable (demande de confirmation, aucune affirmation factuelle).",Récapitulatif : paiement. Confirmez-vous cette opération ? Aucune opération ne sera exécutée sans votre confirmation explicite.,
Q008,Chhal kayji Prime fl mois ?,informationnel,tarif_palier,Prime,difficile,darija_latin,repondre,repondre,informationnel,tarif_palier,1,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),Le palier Prime coûte 65 DH/mois et inclut des retraits illimités ainsi qu'une carte premium. (source : communique_commercial_q3),"KB-INF-PRIME-TARIF-B,KB-INF-PRIME-TARIF-A"
Q009,Quel est le tarif du palier Metal ?,informationnel,tarif_palier,Metal,facile,fr,repondre,repondre,informationnel,tarif_palier,1,1,1.0,1,0,0,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),"Le palier Metal coûte 159 DH/mois. Il inclut une carte en métal, des retraits illimités dans le monde entier, une assurance voyage premium et un conseiller dédié. (source : fiche_tarifs_v3)",KB-INF-METAL-TARIF
Q010,Le pack Metal il coute cher non? donne moi le prix exact,informationnel,tarif_palier,Metal,facile,fr,repondre,repondre,informationnel,tarif_palier,1,1,1.0,1,0,0,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),"Le palier Metal coûte 159 DH/mois. Il inclut une carte en métal, des retraits illimités dans le monde entier, une assurance voyage premium et un conseiller dédié. (source : fiche_tarifs_v3)",KB-INF-METAL-TARIF
